,n_regimes,model,μ,σ,π,A,log_likelihood
0,4,4,[-0.38274678  0.15581156  0.40035482  0.20275235],[0.36130921 0.05153402 0.12265833 0.17959136],[0.01986764 0.71548823 0.11856211 0.14608203],"[[0.82114647 0.00937164 0.01126585 0.15821605]
 [0.12643154 0.00982687 0.83305852 0.03068307]
 [0.02502761 0.37279734 0.17287906 0.42929599]
 [0.01777493 0.23716011 0.59900539 0.14605957]]",-71662.23252531467
0,4,5,[ 0.36551859 -1.58674735 -0.34676683  0.7746703 ],[0.08859468 0.20590464 0.49503479 0.21846295],[0.88784734 0.01368985 0.08793577 0.01052703],"[[0.73151097 0.15411336 0.03162931 0.08274635]
 [0.20397406 0.05187263 0.26045566 0.48369765]
 [0.26081997 0.10486399 0.22978065 0.40453538]
 [0.34904037 0.20937207 0.03267103 0.40891653]]",-71832.67031795904
0,4,6,[-0.36751288 -0.20380898  2.55012224  0.19685179],[0.43416269 0.1614315  0.1127247  0.05279103],[1.08966446e-05 1.02793354e-02 1.71000566e-01 8.18709202e-01],"[[0.26932638 0.59487137 0.02448257 0.11131968]
 [0.15982372 0.62876565 0.14394284 0.06746779]
 [0.05818283 0.10551014 0.03814856 0.79815847]
 [0.05975883 0.42687299 0.05035327 0.46301491]]",-71834.44508372496
0,4,7,[ 1.05710919 -0.79344646 -0.21421961  0.27215424],[0.14803113 0.1546594  0.3647799  0.06931029],[0.2917416  0.00753293 0.00296106 0.69776442],"[[0.4971869  0.02412659 0.07611733 0.40256918]
 [0.25216318 0.32506042 0.39389702 0.02887938]
 [0.0836047  0.35112807 0.55989031 0.00537692]
 [0.14248625 0.16877158 0.03627445 0.65246771]]",-71701.06395108777
0,4,8,[-0.83998314 -0.04775586  0.14140475  0.90814441],[0.16192121 0.32686015 0.07151311 0.11438022],[0.07222683 0.00269758 0.34973577 0.57533982],"[[0.28255839 0.52516671 0.1378571  0.0544178 ]
 [0.1344875  0.55060405 0.22361847 0.09128999]
 [0.11633015 0.22890949 0.13467726 0.52008309]
 [0.03068948 0.10089661 0.83017901 0.0382349 ]]",-71874.23158393649
0,4,9,[ 0.68005472 -0.00846402  0.08113315 -0.39034589],[0.12763143 0.15367298 0.06613806 0.34795404],[0.40349943 0.06991718 0.52204661 0.00453677],"[[0.22092082 0.34948756 0.38109251 0.04849911]
 [0.18483849 0.12286553 0.57953413 0.11276185]
 [0.55888969 0.03802034 0.07476431 0.32832567]
 [0.25789324 0.02544843 0.12924618 0.58741215]]",-71847.00167773859
0,4,10,[ 0.14874668  0.64310234  0.31153211 -0.30659601],[0.06640295 0.1052273  0.15761979 0.32870994],[0.48506206 0.38049536 0.13300499 0.00143759],"[[0.32202491 0.19823435 0.27914721 0.20059352]
 [0.34594907 0.42666555 0.03807279 0.18931259]
 [0.31482118 0.16420554 0.06182803 0.45914525]
 [0.16206693 0.01197862 0.37944018 0.44651427]]",-71881.24473604339
0,5,1,[-0.23960105  1.04314812 -0.2548118   0.11929006 -0.19950256],[0.39980398 0.11633596 0.18197972 0.05503834 0.15613141],[0.03367853 0.89544203 0.04321019 0.02363436 0.00403489],"[[0.18875802 0.28585757 0.44956118 0.00615037 0.06967285]
 [0.26057554 0.01756353 0.05474546 0.60865253 0.05846294]
 [0.19336691 0.22756628 0.29170246 0.11956023 0.16780412]
 [0.01483063 0.34864976 0.36330004 0.10102929 0.17219028]
 [0.26988531 0.31356552 0.11438365 0.1739705  0.12819502]]",-71881.95795064874
0,5,2,[ 0.2977492   1.39071854 -0.13744321 -0.41417319 -0.7155803 ],[0.07371616 0.16494794 0.51159586 0.18706082 0.21881996],[0.45619077 0.25115148 0.00054722 0.26234907 0.02976146],"[[0.61474216 0.10416007 0.01858614 0.15496428 0.10754734]
 [0.45114653 0.10889796 0.02658724 0.00895873 0.40440955]
 [0.18017777 0.22250988 0.24848627 0.18266964 0.16615644]
 [0.21683824 0.21854725 0.22913099 0.21470693 0.12077658]
 [0.09856191 0.30126416 0.05144297 0.21629411 0.33243685]]",-71742.86455898457
0,5,3,[ 1.08094039  0.14714286 -0.22591836  0.10105863 -0.34575833],[0.12726172 0.06110568 0.40217417 0.10943472 0.201498  ],[0.36982629 0.01712241 0.00257073 0.11867081 0.49180975],"[[0.15713481 0.45519158 0.07412874 0.28772869 0.02581617]
 [0.39290519 0.19753157 0.07642195 0.09922479 0.23391649]
 [0.11272409 0.13035444 0.46306523 0.10021774 0.19363849]
 [0.19280748 0.34723055 0.18839532 0.25061487 0.02095178]
 [0.05833262 0.21555948 0.14524259 0.00058173 0.58028359]]",-71734.70062379021
0,5,4,[-0.43036738  1.91437231 -0.77661939  0.19355659 -0.08060796],[0.41605604 0.12800461 0.1428184  0.0575625  0.22090039],[0.00364686 0.29561962 0.08000924 0.59724    0.02348428],"[[0.13142739 0.08304232 0.43898346 0.00763307 0.33891376]
 [0.07814318 0.02829476 0.12887836 0.5619549  0.2027288 ]
 [0.20788029 0.2990346  0.23025281 0.06815506 0.19467725]
 [0.1047652  0.18662623 0.23653242 0.45142717 0.02064898]
 [0.25272965 0.22257913 0.21628948 0.17276912 0.13563262]]",-71819.7252850956
0,5,5,[-0.06126932  0.97706011  0.18963525 -1.60568211  0.03487321],[0.39113603 0.15273666 0.0609062  0.2039266  0.12863314],[0.00059241 0.17936812 0.38812858 0.02175294 0.41015795],"[[0.64667191 0.00964625 0.04284543 0.19838764 0.10244877]
 [0.03543809 0.19534149 0.66824304 0.01395129 0.08702608]
 [0.00859632 0.32249322 0.05433568 0.12574095 0.48883383]
 [0.32312756 0.2473142  0.07377875 0.0619062  0.29387329]
 [0.04375146 0.47731713 0.25975513 0.15367599 0.06550029]]",-71620.45434868333
0,5,6,[-0.35284205  0.83815448 -1.37209349  3.05450811  0.18046587],[0.3755531  0.13459896 0.15822729 0.13141002 0.0665935 ],[0.02483861 0.16994427 0.0302563  0.05276757 0.72219326],"[[0.50762926 0.10037822 0.13301646 0.07556003 0.18341603]
 [0.18245672 0.14722856 0.023379   0.13824082 0.50869491]
 [0.1601964  0.3544053  0.36629188 0.04637828 0.07272813]
 [0.08579157 0.14008982 0.01163086 0.04118163 0.72130612]
 [0.11149958 0.22645541 0.21572211 0.05031279 0.3960101 ]]",-71789.2239477543
0,5,7,[-0.29262236  0.40057538  0.63261474 -1.52354283  0.7662879 ],[0.43035007 0.091468   0.18020088 0.18753062 0.19879093],[0.0253171  0.90864295 0.00520517 0.04499193 0.01584285],"[[0.31900716 0.11175807 0.39912498 0.14052802 0.02958176]
 [0.01948487 0.85275368 0.00570205 0.11432442 0.00773498]
 [0.2282172  0.00256849 0.11332845 0.29001385 0.36587201]
 [0.00846051 0.17227535 0.02695653 0.23303098 0.55927662]
 [0.40294196 0.13303083 0.01664671 0.10651068 0.34086981]]",-71569.42030755873
0,5,8,[ 0.7094986   0.04051179 -0.66954548  0.1166737  -0.2780879 ],[0.11748106 0.20190707 0.20025733 0.05628783 0.44123492],[0.10794998 0.43207881 0.00877669 0.35169264 0.09950188],"[[0.33939532 0.0861212  0.04981263 0.48704943 0.03762142]
 [0.18745459 0.24094984 0.33007173 0.00246152 0.23906232]
 [0.16281876 0.38441533 0.02763719 0.29711053 0.1280182 ]
 [0.58683346 0.05376954 0.20602648 0.09590605 0.05746447]
 [0.07547553 0.50712016 0.04350819 0.09778534 0.27611078]]",-71625.5052180978
0,5,9,[ 0.25150769 -1.69433255  1.57230368 -0.50182386  0.2566403 ],[0.06315514 0.1920862  0.18160161 0.44153505 0.12435935],"[1.94134510e-01 3.44199272e-02 6.52831888e-01 5.73305623e-04
 1.18040369e-01]","[[0.33036954 0.1055365  0.13275044 0.01393133 0.41741219]
 [0.10204693 0.35820155 0.41676949 0.02947048 0.09351156]
 [0.37928396 0.21958623 0.28595605 0.08107408 0.03409969]
 [0.16437317 0.09268385 0.10894733 0.56155865 0.072437  ]
 [0.34081643 0.05570535 0.14851733 0.12670078 0.3282601 ]]",-71662.21407377702
0,5,10,[ 0.18146696 -0.13921378 -0.24759101 -0.65881917  1.85001731],[0.05724306 0.10526617 0.36592393 0.18330601 0.12607566],[0.75048845 0.04541021 0.002506   0.06432659 0.13726875],"[[0.1198005  0.51282945 0.28024528 0.05294598 0.03417878]
 [0.19044494 0.03353467 0.07029074 0.37503635 0.3306933 ]
 [0.11286468 0.17778955 0.23780469 0.33677761 0.13476346]
 [0.32265274 0.10132563 0.46135389 0.01424467 0.10042308]
 [0.48105561 0.1086156  0.10345144 0.09023535 0.21664201]]",-71846.55992821016
