,n_regimes,model,log_likelihood,μ,σ,π,A,π_alpha,A_alpha,q_prob
0,4,1,-71987.93793491587,[-0.41265163 -1.30272464  0.33837504  1.28169566],[0.41901242 0.22148795 0.09563636 0.21988988],[0.02152587 0.02889006 0.93981563 0.00976845],"[[0.11521145 0.35117626 0.23842255 0.29518974]
 [0.23966889 0.08696917 0.21769455 0.45566739]
 [0.12172094 0.04695513 0.80582926 0.02549467]
 [0.10296372 0.45014015 0.30265364 0.14424248]]",[  4.72397523   5.99798053 163.58810314   2.6899411 ],"[[ 19551.47589443  59592.84541057  40459.42922292  50092.37479836]
 [ 45719.07494732  16590.81634987  41527.35629938  86921.89882716]
 [ 85786.9915822   33093.84587818 567930.0669819   17969.02758556]
 [ 18644.51711645  81507.33596767  54802.13057827  26118.81255942]]","[[0.00373574 0.00845823 0.98457104 0.00323499]
 [0.04375986 0.03160289 0.90644055 0.0181967 ]
 [0.02967383 0.03528069 0.90605089 0.02899459]
 ...
 [0.08314647 0.22947714 0.52869616 0.15868024]
 [0.25121991 0.1516106  0.28777446 0.30939503]
 [0.05548391 0.1790533  0.59038819 0.1750746 ]]"
0,4,2,-71920.23841136007,[ 0.50787668 -0.19936687  0.25997515 -0.95376417],[0.17017478 0.45164959 0.0725263  0.21814538],[0.40826334 0.0223354  0.16281193 0.40658933],"[[0.1902354  0.00786639 0.49237822 0.30951999]
 [0.3823493  0.43347976 0.0754458  0.10872515]
 [0.56587077 0.05146559 0.3795009  0.00316275]
 [0.36723864 0.26689466 0.28251712 0.08334959]]",[88.77661722  5.80211179 36.00456491 88.41670608],"[[111027.36288336   4592.0309712  287365.83353717 180644.98080064]
 [ 62704.32424101  71089.45699684  12373.72365743  17831.36708368]
 [329581.49247704  29976.13557573 221033.96442678   1843.08151205]
 [ 80276.88530845  58342.36898713  61757.33453175  18220.65700972]]","[[0.45671095 0.00866113 0.13741625 0.39721166]
 [0.36200115 0.03310742 0.46447967 0.14041177]
 [0.29606544 0.01283212 0.6436446  0.04745784]
 ...
 [0.21243017 0.04085239 0.66785741 0.07886003]
 [0.809964   0.06699106 0.00744786 0.11559708]
 [0.2009692  0.02846192 0.62055831 0.15001058]]"
0,4,3,-72126.98147814262,[ 0.1700466  -0.12805421  1.6691322  -0.40993315],[0.07910875 0.16428126 0.14061503 0.34265179],[0.24423539 0.62207297 0.08578992 0.04790172],"[[0.4302315  0.14048929 0.10549911 0.3237801 ]
 [0.4561274  0.22121955 0.13299028 0.18966277]
 [0.80571256 0.0470567  0.10993988 0.03729086]
 [0.22501092 0.25354151 0.12760128 0.39384628]]",[14.18871082 34.59194039  5.63265574  3.58669305],"[[70264.21002471 22944.99330768 17230.57550586 52879.11262559]
 [31263.10808572 15162.96921922  9115.90199016 13000.12711596]
 [36722.88981516  2145.6990494   5011.72016314  1700.60203486]
 [25084.78837988 28265.3234255  14225.7473734  43906.23188383]]","[[0.25652945 0.65189496 0.07190282 0.01967278]
 [0.69007594 0.14712759 0.10043603 0.06236044]
 [0.67836575 0.12473117 0.10889507 0.08800802]
 ...
 [0.69428442 0.12697979 0.05132427 0.12741153]
 [0.01684737 0.19471158 0.37101223 0.41742882]
 [0.60736014 0.15276962 0.13263876 0.10723149]]"
0,4,4,-71995.66180090034,[-0.4703709   0.15031962 -0.27481492  0.72968425],[0.19835007 0.06098044 0.43487026 0.13597609],[0.0015501  0.0533136  0.00163749 0.9434988 ],"[[0.18349344 0.11751739 0.18724458 0.51174459]
 [0.1521633  0.09778889 0.15380595 0.59624186]
 [0.32062241 0.08296088 0.30259998 0.29381673]
 [0.38948663 0.54437507 0.00610414 0.06003415]]",[  1.89905919  31.92188954   1.94974624 548.22930503],"[[203104.62703918 130077.63287701 207256.65040572 566436.40130496]
 [162933.25038349 104710.64037478 164692.16233996 638440.29485042]
 [175067.74602584  45299.43081994 165227.11499711 160431.26848955]
 [565891.88752295 790931.59016738   8869.79593858  87225.50646296]]","[[5.82680606e-04 6.81559570e-02 2.43766891e-04 9.31017595e-01]
 [1.60239799e-01 7.64039101e-01 3.53940877e-03 7.21816917e-02]
 [8.69700380e-02 1.56922508e-01 3.00627896e-02 7.26044665e-01]
 ...
 [2.08919441e-01 6.40122165e-01 2.90025963e-02 1.21955798e-01]
 [2.45432504e-01 1.63334833e-04 1.40098635e-01 6.14305526e-01]
 [2.21877232e-01 4.95189351e-01 3.77089182e-02 2.45224498e-01]]"
0,4,5,-72006.3850731331,[-0.16769527  1.18505335  0.19067206 -0.27611154],[0.39370083 0.11963194 0.05979513 0.17521086],[0.04037835 0.38669313 0.54332905 0.02959947],"[[0.21510322 0.33515238 0.07179482 0.37794958]
 [0.14533517 0.29993288 0.37678556 0.1779464 ]
 [0.03569794 0.17857097 0.39887417 0.38685692]
 [0.30386226 0.0503673  0.1884269  0.45734355]]",[ 2.77664745 18.01449773 24.90647817  2.30237665],"[[12939.99809033 20161.25611889  4319.63817538 22735.61483943]
 [ 8409.4834308  17353.8588262  21800.23251199 10296.23255133]
 [ 2875.98596082 14382.47651871 32124.91958524 31157.09312122]
 [35934.29544934  5957.19525889 22283.46212472 54084.25743678]]","[[6.08072030e-03 2.44465521e-01 7.40920697e-01 8.53306167e-03]
 [1.46598114e-02 2.44166576e-01 5.92160605e-01 1.49013008e-01]
 [3.06997108e-02 1.85193066e-01 6.27500849e-01 1.56606374e-01]
 ...
 [1.15642796e-01 2.25766094e-01 3.59460752e-01 2.99130359e-01]
 [2.49176923e-01 3.43939333e-01 3.02847771e-04 4.06580897e-01]
 [9.74617094e-02 2.66689599e-01 3.36620722e-01 2.99227970e-01]]"
0,5,1,-71799.61084338363,[-0.73062135  0.1388746   0.57308364  0.40625827 -0.04630095],[0.22495577 0.04865045 0.11347396 0.17842405 0.48730094],"[1.44206650e-03 7.64953762e-01 1.92693540e-01 4.05591082e-02
 3.51523141e-04]","[[0.30555572 0.02033997 0.15953682 0.30998825 0.20457924]
 [0.09809841 0.08619687 0.71445543 0.09846011 0.00278918]
 [0.08209997 0.40151472 0.21059077 0.26454099 0.04125355]
 [0.27488697 0.1428404  0.38038683 0.18971521 0.0121706 ]
 [0.52260967 0.03479637 0.04072354 0.10209614 0.29977428]]",[   3.55822598 1358.02797338  342.83834057   72.95185802    1.62360205],"[[ 821416.80096073   54680.28880074  428878.79117195  833332.63778124
   549964.91360472]
 [ 223742.62730549  196597.72509898 1629521.94198792  224567.57689525
     6362.51720592]
 [ 327064.97599172 1599526.56090842  838937.41096786 1053860.43752715
   164343.95170127]
 [ 753596.30151486  391594.14577981 1042821.37867643  520100.19293971
    33366.37527897]
 [ 562730.60493427   37468.63234384   43850.81991574  109934.90395277
   322788.48675496]]","[[2.85882803e-04 7.51321043e-01 2.28276282e-01 2.00901756e-02
  2.66167216e-05]
 [2.90663077e-02 3.47526955e-01 5.46981566e-01 7.55856258e-02
  8.39545728e-04]
 [3.83378219e-02 2.39347793e-01 5.57390028e-01 1.59863352e-01
  5.06100408e-03]
 ...
 [1.72052869e-01 2.97790663e-01 2.81266251e-01 2.15064202e-01
  3.38260162e-02]
 [2.03800328e-01 1.16393781e-06 3.48170178e-01 3.95416981e-01
  5.26113495e-02]
 [1.62487398e-01 2.51214080e-01 3.40543790e-01 2.13880498e-01
  3.18742345e-02]]"
0,5,2,-71730.30869340565,[-0.23844179  1.7165116   0.15921247  0.25277458 -1.0188897 ],[0.36280442 0.13479221 0.05025328 0.12600697 0.15919692],[0.00923411 0.00720532 0.62198026 0.28186624 0.07971408],"[[0.83560591 0.02255958 0.03020964 0.08428524 0.02733963]
 [0.03404953 0.0172812  0.66720235 0.03246178 0.24900515]
 [0.01433824 0.17828988 0.14584498 0.34511148 0.31641542]
 [0.02171634 0.57724009 0.04696778 0.10030549 0.25377029]
 [0.1018694  0.02245156 0.3242391  0.45990065 0.09153929]]",[  2.50515934   2.17446734 102.38278224  46.94419638  13.9933947 ],"[[197285.8856314    5327.2707144    7133.4360241   19900.57703307
    6455.83171229]
 [  6907.3298936    3506.1769544  135330.89266512   6585.28242115
   50507.17677896]
 [  3803.51658964  47283.65409943  38679.23485442  91524.91185167
   83914.68551874]
 [  5332.43618892 141715.40143596  11531.748435    24626.33938997
   62302.46786202]
 [ 22783.04596519   5022.06158713  72513.74870621 102853.06369056
   20472.82399687]]","[[4.82916227e-04 3.75280588e-03 7.65971285e-01 2.04165723e-01
  2.56272705e-02]
 [2.52028523e-03 3.64029450e-01 1.50116695e-01 2.09484319e-01
  2.73849251e-01]
 [4.83010086e-03 8.21029358e-02 4.56229852e-01 2.98497119e-01
  1.58339993e-01]
 ...
 [8.06086538e-02 9.18169100e-02 3.77469011e-01 3.68455886e-01
  8.16495383e-02]
 [9.89746732e-02 5.34546582e-01 4.31237056e-06 1.84603483e-01
  1.81870949e-01]
 [8.07653271e-02 1.37624506e-01 5.12305730e-01 1.39599646e-01
  1.29704791e-01]]"
0,5,3,-71664.49204559131,[ 0.42612339  0.58767328 -0.00785636 -1.56332056  0.18086726],[0.12494446 0.18301388 0.42092187 0.22367896 0.05112211],"[9.88100716e-01 1.43895932e-04 1.94618743e-03 5.04686582e-03
 4.76233497e-03]","[[0.5033362  0.04124822 0.00240201 0.02262456 0.43038901]
 [0.19559647 0.22018513 0.15908401 0.41397362 0.01116077]
 [0.02622657 0.49069525 0.31027468 0.15020752 0.02259599]
 [0.00348351 0.3320229  0.53664286 0.0715161  0.05633462]
 [0.83911742 0.0747888  0.06179114 0.00639117 0.01791148]]",[697.61100467   1.10144663   2.37206214   4.55804041   4.35744615],"[[974730.7548111   79879.74975433   4652.5825189   43814.32420142
  833465.73190474]
 [176967.57869917 199214.25939236 143932.80234268 374545.0609032
   10098.74628979]
 [ 19568.18645183 366100.17625817 231491.53482697 112068.21146528
   16859.47336167]
 [  2012.5897498  191731.10151578 309891.04061379  41298.7214545
   32532.01801654]
 [762800.98465308  67987.78249467  56172.25949422   5810.89199417
   16283.43683155]]","[[9.96027683e-01 2.93878495e-05 1.25516032e-04 4.68473719e-04
  3.34893956e-03]
 [4.16170292e-01 9.46934214e-03 2.66213655e-04 2.14188084e-03
  5.71952271e-01]
 [8.16276750e-01 1.58585900e-02 3.49249465e-03 2.99611372e-03
  1.61376051e-01]
 ...
 [2.50371505e-01 2.08272219e-01 8.59000399e-02 1.05575773e-01
  3.49880464e-01]
 [5.64402592e-01 2.15581297e-01 1.43571359e-01 7.64401139e-02
  4.63743851e-06]
 [3.40739618e-01 1.94831692e-01 6.77272417e-02 9.74580479e-02
  2.99243400e-01]]"
0,5,4,-71789.44726429427,[ 0.34763999 -0.36208131 -2.92822786  1.84921444 -0.17642257],[0.09556929 0.45212636 0.2175044  0.22307465 0.18281665],[0.76079166 0.00103439 0.00598485 0.19477178 0.03741732],"[[0.84257208 0.02480979 0.05895343 0.02820959 0.04545511]
 [0.0514796  0.21341777 0.2205996  0.07166203 0.442841  ]
 [0.28860616 0.28347328 0.03417721 0.09391973 0.29982362]
 [0.41084576 0.04124679 0.04173578 0.07821869 0.42795298]
 [0.09042936 0.2856564  0.06687455 0.45766722 0.09937248]]",[45.88670789  1.06102924  1.35310589 12.49153488  3.20762209],"[[196955.4597699    5800.38427453  13781.59127567   6595.09921119
   10626.30684102]
 [  2340.01887564   9697.81482534  10024.12757662   3257.02446723
   20121.85137995]
 [  9038.45245691   8877.7208247    1071.22972504   2942.01529621
    9389.71774254]
 [ 19359.19654838   1944.46298968   1967.5030764    3686.50195321
   20165.25308412]
 [  6054.54624426  19123.4869186    4477.73401892  30638.2817845
    6653.2188394 ]]","[[9.31412566e-01 9.63168528e-05 1.24227845e-03 5.59105859e-02
  1.13382532e-02]
 [9.44019378e-01 3.64891218e-03 1.11299655e-02 1.91309118e-02
  2.20708330e-02]
 [9.23312583e-01 8.02742402e-03 1.90758609e-02 2.44959475e-02
  2.50881844e-02]
 ...
 [4.12239593e-01 5.91538245e-02 2.18297649e-02 1.19053996e-01
  3.87722822e-01]
 [2.76092661e-01 1.12171537e-01 4.27576560e-02 4.17694903e-01
  1.51283242e-01]
 [5.61485076e-01 4.83672315e-02 3.64432900e-02 1.14696130e-01
  2.39008272e-01]]"
0,5,5,-71753.85905979382,[ 1.27631815  0.32619544 -0.42729459  0.36693588 -0.64237493],[0.19003689 0.17441937 0.40983491 0.0858792  0.19633412],[0.02358116 0.00148847 0.00865146 0.93626739 0.03001152],"[[5.11031711e-01 8.77925774e-02 2.02217814e-02 2.57697250e-01
  1.23256680e-01]
 [2.87492690e-02 1.16833032e-01 3.26851256e-01 1.81000517e-01
  3.46565927e-01]
 [5.19660707e-02 3.11578110e-01 5.07938742e-01 7.26941642e-02
  5.58229125e-02]
 [1.78374318e-02 3.31755471e-02 4.53954403e-02 7.65800789e-01
  1.37790792e-01]
 [2.22433149e-02 5.69417812e-01 4.66536200e-04 3.47922363e-01
  5.99499737e-02]]",[  8.33374229   1.4629133    3.69060305 292.17915722  10.33358413],"[[5.84533310e+04 1.00428050e+04 2.31398809e+03 2.94766756e+04
  1.40992254e+04]
 [1.12816853e+04 4.58441370e+04 1.28251432e+05 7.10222798e+04
  1.35987107e+05]
 [1.87731272e+04 1.12554900e+05 1.83487851e+05 2.62609053e+04
  2.01663656e+04]
 [1.84916615e+04 3.43914782e+04 4.70588796e+04 7.93846396e+05
  1.42837867e+05]
 [7.40853326e+03 1.89630172e+05 1.56367239e+02 1.15867115e+05
  1.99657142e+04]]","[[1.02300428e-02 4.66714937e-04 8.54028910e-04 9.78172554e-01
  1.02766592e-02]
 [1.58532793e-02 1.85857200e-02 7.93927472e-03 8.87405495e-01
  7.02162306e-02]
 [3.84772398e-02 7.25781757e-02 2.08957382e-02 7.63070763e-01
  1.04978084e-01]
 ...
 [1.17261423e-01 2.25412482e-01 1.17839577e-01 3.80367801e-01
  1.59118718e-01]
 [1.67501273e-01 2.41459810e-01 1.70655084e-01 1.22105374e-01
  2.98278460e-01]
 [9.78916808e-02 2.53594430e-01 9.17699305e-02 4.35355493e-01
  1.21388466e-01]]"
