Date,^GSPC,^FTSE,^GDAXI
1995-01-03,1.0,1.0,1.0
1995-01-04,1.0034850169993372,0.9954007718497581,1.0019236996205938
1995-01-05,1.0026791205279193,0.9891052931220543,0.9915608328998656
1995-01-06,1.0034196758387133,0.9997716830795501,0.9948185666396359
1995-01-09,1.0037463816418326,0.9967707530086348,0.992503330070132
1995-01-10,1.0055978031544026,0.9982711782260039,0.9966940026640561
1995-01-11,1.0055542645377102,0.9946830906195193,0.9965392995477147
1995-01-12,1.0055107259210179,0.9893988320717503,0.9955339062973491
1995-01-13,1.014941987950638,0.9943243296405773,0.9976896015905038
1995-01-16,1.0223694100736793,1.0035880876064844,1.0093430769942424
1995-01-17,1.0238287181513357,0.9963140395315577,1.0060272853343806
1995-01-18,1.0230881628405417,0.9964771344227615,1.0080719389551651
1995-01-19,1.017076576649635,0.9878984068543814,1.0051621987242363
1995-01-20,1.0123500111272739,0.9769383983110123,0.9912708973111158
1995-01-23,1.0146152821475187,0.9636298392615433,0.9729859565915564
1995-01-24,1.0147023593809035,0.9684574639684125,0.9800621196144199
1995-01-25,1.018143837763548,0.9727631531689584,0.9797237434236425
1995-01-26,1.020060600436742,0.9809505485618623,0.9864035903395397
1995-01-27,1.0245693399333002,0.9858107444652657,0.9814589908117441
1995-01-30,1.0204744499444167,0.9772319372607082,0.9795836137892753
1995-01-31,1.024634681093924,0.975829384905297,0.9786845420551749
1995-02-01,1.024591076006061,0.9842124463859391,0.9896177806392413
1995-02-02,1.0297968321967206,0.9898881167453618,0.9852773610928861
1995-02-03,1.0425606263604987,0.9980428613055539,1.0043597721863857
1995-02-06,1.0479842085769613,0.998793113732327,1.0078109143225584
1995-02-07,1.0472653893389283,1.0022833284768538,1.0116437990837233
1995-02-08,1.0480930883542776,1.0022181064476077,1.009115919481689
1995-02-09,1.045914961038588,1.0108621356814114,1.0236259153562726
1995-02-10,1.0486811587998923,1.014417572455184,1.028343357371515
1995-02-13,1.049095008307567,1.0050233704307847,1.0241865518976443
1995-02-14,1.0510553095974533,1.001826694635954,1.0287155416803944
1995-02-15,1.0553898281560712,1.0030009300709153,1.0321762421326799
1995-02-16,1.056870938777659,0.9952376769585543,1.0208515256016546
1995-02-17,1.0497920250016683,0.9929869196782348,1.0243460931739934
1995-02-21,1.0514256204884356,0.9862021562769195,1.0159020879138514
1995-02-22,1.0565442329745396,0.9849300479800005,1.0132146670354683
1995-02-23,1.0605519792588678,0.9946505194229849,1.0278019554662712
1995-02-24,1.0631656921549928,0.9908666860925849,1.0235244320000152
1995-02-27,1.0537997712859966,0.9868219646452006,1.0179466235307335
1995-02-28,1.06159750430002,0.9816029281266776,1.0139832264532653
1995-03-01,1.0578075175703245,0.9920083503310118,1.0281741397751507
1995-03-02,1.0566749152957875,0.9910297809837887,1.0230651608109984
1995-03-03,1.0573065908292651,0.9867567426159545,1.0121995974650875
1995-03-06,1.0577639789536322,0.9791890759551544,1.0004978584651751
1995-03-07,1.0501187308047877,0.971066982227674,0.9866307478520929
1995-03-08,1.05234046320834,0.975992479796501,0.9808886189484058
1995-03-09,1.0523840018250326,0.974296229219039,0.9614678316641287
1995-03-10,1.066345805895142,0.9854519834863237,0.9709655527727613
1995-03-13,1.0673912644651238,0.9824184025826967,0.9541887019287502
1995-03-14,1.0735772045363117,0.9950745820673503,0.9775632099704802
1995-03-15,1.071377274676691,0.9939002669962118,0.9643775718950577
1995-03-16,1.0790660614422276,1.0092638376020846,0.9744939874651535
1995-03-17,1.0793056235407916,1.0076981107192922,0.9567890949289475
1995-03-20,1.0806561183123022,1.0190821022708494,0.9594329723672621
1995-03-21,1.0783255061314336,1.022604967848088,0.9590269799402806
1995-03-22,1.0796323958150815,1.0241380438981686,0.956088210749306
1995-03-23,1.0802422688046276,1.0230616016889877,0.9353092575477656
1995-03-24,1.091176443999767,1.0286068279899183,0.9356911181766603
1995-03-27,1.0960336918433757,1.0274325925549572,0.9322835194805562
1995-03-28,1.097558341081656,1.0204195122331918,0.9240086728148273
1995-03-29,1.095859404434265,1.0249861691868996,0.9274645941090564
1995-03-30,1.0938991031443788,1.036043970956049,0.9424047732106596
1995-03-31,1.0906101096269132,1.0235508863625993,0.9254538666102765
1995-04-03,1.093093206672961,1.025247136940061,0.9352512586296254
1995-04-04,1.1004770237081394,1.039925677148407,0.9500996306949864
1995-04-05,1.1011958429461723,1.0406106279097567,0.9534394951509836
1995-04-06,1.102306642676778,1.0441008426542833,0.9553390629734907
1995-04-07,1.1030472644587426,1.04736274047836,0.9563975579800376
1995-04-10,1.1043323515984589,1.0451772848634642,0.9574126275504183
1995-04-11,1.101108699241617,1.0408389448302064,0.9566634207726518
1995-04-12,1.1046808599455096,1.0470039794994181,0.9623765207162931
1995-04-13,1.1091677968981362,1.0466777897170105,0.9584662843969576
1995-04-18,1.1007601908945663,1.0420132599013452,0.9447538178982655
1995-04-19,1.0997800734852083,1.0340542610650685,0.9395627082178862
1995-04-20,1.1005859699566263,1.0355546862824374,0.9450969732470992
1995-04-21,1.10755593748413,1.0437746528718757,0.9607428156864004
1995-04-24,1.1171397508500998,1.0468408846082142,0.9565232321363332
1995-04-25,1.1154189451876069,1.048667499607991,0.9703468583112981
1995-04-26,1.1166386911666992,1.0523534600764333,0.980472950201409
1995-04-27,1.1185772563838248,1.0495482757294334,0.9784090619444966
1995-04-28,1.1211039585177354,1.0492546571435601,0.9753639712372567
1995-05-02,1.1214305978496841,1.0595296352894021,0.9843155112825891
1995-05-03,1.1336716627284713,1.0642268159377792,0.9850502035803328
